GET /api/courses/ 304 - - 11.995 ms
GET /api/courses/ 304 - - 1.552 ms
::1 - - [18/May/2018:20:35:07 +0000] "DELETE /api/courses/11 HTTP/1.1" 400 42
::1 - - [18/May/2018:20:36:10 +0000] "POST /api/courses HTTP/1.1" 400 164
::1 - - [18/May/2018:20:36:13 +0000] "POST /api/courses HTTP/1.1" 400 164
::1 - - [18/May/2018:20:36:13 +0000] "POST /api/courses HTTP/1.1" 400 164
::1 - - [18/May/2018:20:36:13 +0000] "POST /api/courses HTTP/1.1" 400 164
::1 - - [18/May/2018:20:36:13 +0000] "POST /api/courses HTTP/1.1" 400 164
::1 - - [18/May/2018:20:39:21 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:40:19 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:40:32 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:40:52 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:43:04 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:43:28 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:43:32 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:45:03 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:45:06 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:45:10 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:45:25 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:47:04 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:47:06 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:47:07 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:47:07 +0000] "GET /robots.txt HTTP/1.1" 404 149
::1 - - [18/May/2018:20:47:10 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:47:12 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:47:15 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:47:39 +0000] "GET /ooo HTTP/1.1" 404 142
::1 - - [18/May/2018:20:47:41 +0000] "GET /ooo HTTP/1.1" 404 142
::1 - - [18/May/2018:20:47:45 +0000] "GET /ooo HTTP/1.1" 404 142
::1 - - [18/May/2018:20:47:47 +0000] "GET /ooo HTTP/1.1" 404 142
::1 - - [18/May/2018:20:47:49 +0000] "GET /ooo HTTP/1.1" 404 142
::1 - - [18/May/2018:20:48:33 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:50:30 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:50:33 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:50:39 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:52:09 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:52:13 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:52:15 +0000] "GET / HTTP/1.1" 304 -
::1 - - [18/May/2018:20:52:18 +0000] "GET / HTTP/1.1" 304 -
